범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
개발제한구역의 지정 및 관리에 관한 특별조치법,76,109,13,93,3,10,4,0,327,0,0,0,0,3,2,38,0
개인정보보호법,448,138,68,145,69,54,22,8,318,42,41,67,52,69,53,105,20
건강기능식품에 관한법률,47,31,13,33,5,19,0,0,72,6,5,8,5,7,12,39,0
건설기계관리법,34,21,29,29,12,3,6,1,781,30,14,18,16,17,23,46,1
건설산업기본법,188,68,16,34,17,37,11,1,307,20,26,44,46,21,18,35,23
건축법,254,272,21,228,23,103,19,16,1166,226,215,602,164,103,282,170,83
게임산업진흥에 관한법률,795,352,246,309,165,124,66,16,994,169,172,168,132,200,249,259,64
결혼중개업의 관리에 관한법률,22,2,1,7,2,5,1,2,18,3,4,2,4,3,6,7,0
경범죄처벌법,2083,455,372,500,132,173,82,9,2287,178,131,165,127,216,211,373,144
고용보험법,388,126,137,2,76,0,184,0,1086,40,69,119,85,36,107,240,44
공유수면관리 및 매립에 관한법률,0,6,2,1371,0,0,338,0,36,59,6,1380,14,1821,96,455,456
공유재산 및 물품관리법,3,1358,1,11,1,0,0,0,20,4,2,7,131,3,5,6,10
공인중개사법,168,75,47,52,38,26,11,8,208,31,21,35,18,17,64,49,18
공중위생관리법,720,359,24,77,44,17,7,5,230,36,6,25,225,29,18,93,24
공직선거법,13,0,3,2,4,2,0,0,14,4,3,7,6,5,7,10,2
관세법,103,209,13,444,9,0,1,0,19,3,8,4,5,19,2,21,0
교통사고처리 특례법,34492,11340,12527,7196,7451,7847,2402,837,49466,6781,8184,7581,6593,9097,11937,12147,3714
국가기술자격법,14,15,5,7,1,7,1,1,27,999,3,1,3,4,8,9,1
국가보안법,25,1,1,2,4,0,0,0,12,2,3,0,1,1,1,1,0
국민체육진흥법,97,22,13,23,5,5,23,1,129,12,8,11,9,11,8,10,1
국토의계획 및 이용에 관한법률,38,52,35,33,9,5,13,8,601,118,107,76,36,65,117,231,14
